Provinsi/Kabupaten/Kota,,,
,Indeks Pembangunan Gender (IPG),,
Kota Singkawang,92.83,93.05,93.15
KALIMANTAN TENGAH,89.2,89.49,89.62
Kotawaringin Barat,91.89,92.05,92.32
Kotawaringin Timur,88.3,88.34,88.57
Kapuas,95.44,95.51,95.68
Barito Selatan,92.03,92.29,92.61
Barito Utara,87.91,87.72,87.96
Sukamara,91.87,91.96,92.01
Lamandau,92.1,91.68,92
Seruyan,89.18,89.31,89.5
Katingan,86.17,86.36,86.8
Pulang Pisau,92.23,92.3,92.25
Gunung Mas,92.18,92.38,92.4
Barito Timur,89.04,89.2,89.49
Murung Raya,83.79,84.25,84.7
Kota Palangka Raya,95.08,95.51,95.69
KALIMANTAN SELATAN,89.44,89.65,89.94
Tanah Laut,87.28,87.53,87.78
Kotabaru,84.93,85.05,85.17
Banjar,92.12,92.49,92.52
Barito Kuala,89.93,89.8,90.16
Tapin,84.37,85.13,85.39
Hulu Sungai Selatan,90.05,89.62,90.08
Hulu Sungai Tengah,96.51,96.07,96.18
Hulu Sungai Utara,92.01,91.69,91.79
Tabalong,86.06,86.47,86.83
Tanah Bumbu,85.31,85.74,85.83
Balangan,93.1,93.21,92.95
Kota Banjarmasin,93.76,93.88,94.43
Kota Banjar Baru,92.83,92.99,93.01
KALIMANTAN TIMUR,86.61,87.13,87.45
Paser,71.98,72.84,73.73
Kutai Barat,84.62,85.29,85.88
Kutai Kartanegara,79.8,80.64,81.2
Kutai Timur,77.11,77.83,78.61
Berau,87.76,88.2,88.58
Penajam Paser Utara,86.83,86.93,87.23
Mahakam Ulu,82.32,83.07,83.61
Kota Balikpapan,89.96,90.13,90.34
Kota Samarinda,89.75,90.07,90.36
Kota Bontang,87.52,87.89,88.35
KALIMANTAN UTARA,87.85,88.46,88.77
Malinau,82.61,82.86,83.06
Bulungan,85.24,85.73,86.03
Tana Tidung,78.78,78.99,79.56
Nunukan,83.78,83.97,84.5
Kota Tarakan,92.06,92.73,92.79
SULAWESI UTARA,94.89,95.06,95.48
Bolaang Mongondow,88.52,88.55,89.12
Minahasa,96.3,96.47,96.88
Kepulauan Sangihe,95.94,95.53,95.82
Kepulauan Talaud,98.09,98.05,98.2
